Epoch  1 | Train Loss: 0.0249 | Train Accuracy: 43.7 | Test Loss: 0.0600 | Test Accuracy: 13.72
Epoch  2 | Train Loss: 0.0210 | Train Accuracy: 47.24 | Test Loss: 0.0585 | Test Accuracy: 28.45
Epoch  3 | Train Loss: 0.0211 | Train Accuracy: 45.57 | Test Loss: 0.0601 | Test Accuracy: 41.42
Epoch  4 | Train Loss: 0.0213 | Train Accuracy: 44.09 | Test Loss: 0.0561 | Test Accuracy: 44.09
Epoch  5 | Train Loss: 0.0220 | Train Accuracy: 42.71 | Test Loss: 0.0575 | Test Accuracy: 42.95
Epoch  6 | Train Loss: 0.0225 | Train Accuracy: 41.04 | Test Loss: 0.0339 | Test Accuracy: 48.99
Epoch  7 | Train Loss: 0.0228 | Train Accuracy: 40.46 | Test Loss: 0.0357 | Test Accuracy: 53.5
Epoch  8 | Train Loss: 0.0234 | Train Accuracy: 39.72 | Test Loss: 0.0342 | Test Accuracy: 47.39
Epoch  9 | Train Loss: 0.0236 | Train Accuracy: 38.35 | Test Loss: 0.0334 | Test Accuracy: 52.52
Epoch 10 | Train Loss: 0.0240 | Train Accuracy: 36.88 | Test Loss: 0.0386 | Test Accuracy: 53.09
Epoch 11 | Train Loss: 0.0242 | Train Accuracy: 36.25 | Test Loss: 0.0383 | Test Accuracy: 45.31
Epoch 12 | Train Loss: 0.0244 | Train Accuracy: 36.04 | Test Loss: 0.0522 | Test Accuracy: 41.63
Epoch 13 | Train Loss: 0.0245 | Train Accuracy: 35.46 | Test Loss: 0.0452 | Test Accuracy: 43.01
Epoch 14 | Train Loss: 0.0247 | Train Accuracy: 35.88 | Test Loss: 0.0490 | Test Accuracy: 35.95
Epoch 15 | Train Loss: 0.0247 | Train Accuracy: 36.09 | Test Loss: 0.0515 | Test Accuracy: 40.99
Epoch 16 | Train Loss: 0.0248 | Train Accuracy: 35.51 | Test Loss: 0.0601 | Test Accuracy: 37.68
Epoch 17 | Train Loss: 0.0249 | Train Accuracy: 35.39 | Test Loss: 0.0561 | Test Accuracy: 39.49
Epoch 18 | Train Loss: 0.0251 | Train Accuracy: 34.93 | Test Loss: 0.0636 | Test Accuracy: 31.47
Epoch 19 | Train Loss: 0.0251 | Train Accuracy: 34.75 | Test Loss: 0.0570 | Test Accuracy: 37.47
Epoch 20 | Train Loss: 0.0251 | Train Accuracy: 35.12 | Test Loss: 0.0578 | Test Accuracy: 35.09
Epoch 21 | Train Loss: 0.0251 | Train Accuracy: 34.72 | Test Loss: 0.0654 | Test Accuracy: 19.38
Epoch 22 | Train Loss: 0.0253 | Train Accuracy: 34.96 | Test Loss: 0.0786 | Test Accuracy: 29.24
Epoch 23 | Train Loss: 0.0252 | Train Accuracy: 34.73 | Test Loss: 0.0634 | Test Accuracy: 25.2
Epoch 24 | Train Loss: 0.0254 | Train Accuracy: 34.33 | Test Loss: 0.0587 | Test Accuracy: 36.92
Epoch 25 | Train Loss: 0.0253 | Train Accuracy: 35.03 | Test Loss: 0.0546 | Test Accuracy: 40.44
Epoch 26 | Train Loss: 0.0254 | Train Accuracy: 34.33 | Test Loss: 0.0701 | Test Accuracy: 40.96
