Epoch  1 | Train Loss: 0.07201969 | Train Accuracy: 1.060000 | Test Loss: 0.07228247 | Test Accuracy: 2.130000
Epoch  2 | Train Loss: 0.07199044 | Train Accuracy: 1.450000 | Test Loss: 0.07221766 | Test Accuracy: 1.520000
Epoch  3 | Train Loss: 0.07170491 | Train Accuracy: 1.340000 | Test Loss: 0.07130707 | Test Accuracy: 2.780000
Epoch  4 | Train Loss: 0.06826425 | Train Accuracy: 4.590000 | Test Loss: 0.06409091 | Test Accuracy: 7.620000
Epoch  5 | Train Loss: 0.06263055 | Train Accuracy: 8.680000 | Test Loss: 0.06096215 | Test Accuracy: 10.490000
Epoch  6 | Train Loss: 0.06027122 | Train Accuracy: 10.930000 | Test Loss: 0.05882599 | Test Accuracy: 12.940000
Epoch  7 | Train Loss: 0.05849302 | Train Accuracy: 12.810000 | Test Loss: 0.05724493 | Test Accuracy: 14.620000
Epoch  8 | Train Loss: 0.05693715 | Train Accuracy: 14.550000 | Test Loss: 0.05554469 | Test Accuracy: 16.610000
Epoch  9 | Train Loss: 0.05532702 | Train Accuracy: 16.210000 | Test Loss: 0.05424767 | Test Accuracy: 17.990000
Epoch 10 | Train Loss: 0.05374469 | Train Accuracy: 17.850000 | Test Loss: 0.05285294 | Test Accuracy: 19.810000
Epoch 11 | Train Loss: 0.05216883 | Train Accuracy: 19.940000 | Test Loss: 0.05120246 | Test Accuracy: 21.900000
Epoch 12 | Train Loss: 0.05078726 | Train Accuracy: 21.340000 | Test Loss: 0.05036750 | Test Accuracy: 22.820000
Epoch 13 | Train Loss: 0.04933058 | Train Accuracy: 23.170000 | Test Loss: 0.04913947 | Test Accuracy: 24.120000
Epoch 14 | Train Loss: 0.04793302 | Train Accuracy: 24.810000 | Test Loss: 0.04816976 | Test Accuracy: 25.600000
Epoch 15 | Train Loss: 0.04653978 | Train Accuracy: 26.450000 | Test Loss: 0.04682828 | Test Accuracy: 27.080000
Epoch 16 | Train Loss: 0.04512979 | Train Accuracy: 28.410000 | Test Loss: 0.04771329 | Test Accuracy: 26.450000
Epoch 17 | Train Loss: 0.04371758 | Train Accuracy: 30.110000 | Test Loss: 0.04518238 | Test Accuracy: 29.250000
Epoch 18 | Train Loss: 0.04233239 | Train Accuracy: 31.750000 | Test Loss: 0.04464231 | Test Accuracy: 30.370000
Epoch 19 | Train Loss: 0.04095695 | Train Accuracy: 33.330000 | Test Loss: 0.04348064 | Test Accuracy: 31.230000
Epoch 20 | Train Loss: 0.03960406 | Train Accuracy: 35.270000 | Test Loss: 0.04259295 | Test Accuracy: 32.880000
Epoch 21 | Train Loss: 0.03827619 | Train Accuracy: 37.180000 | Test Loss: 0.04162775 | Test Accuracy: 34.050000
Epoch 22 | Train Loss: 0.03688954 | Train Accuracy: 38.880000 | Test Loss: 0.04165061 | Test Accuracy: 34.230000
Epoch 23 | Train Loss: 0.03551079 | Train Accuracy: 40.640000 | Test Loss: 0.04094202 | Test Accuracy: 35.660000
Epoch 24 | Train Loss: 0.03420855 | Train Accuracy: 42.500000 | Test Loss: 0.04064878 | Test Accuracy: 36.100000
Epoch 25 | Train Loss: 0.03260993 | Train Accuracy: 44.710000 | Test Loss: 0.04037480 | Test Accuracy: 36.790000
Epoch 26 | Train Loss: 0.03113456 | Train Accuracy: 46.740000 | Test Loss: 0.03925872 | Test Accuracy: 37.750000
Epoch 27 | Train Loss: 0.02973026 | Train Accuracy: 48.460000 | Test Loss: 0.03963559 | Test Accuracy: 38.050000
Epoch 28 | Train Loss: 0.02806286 | Train Accuracy: 50.900000 | Test Loss: 0.03912068 | Test Accuracy: 38.600000
Epoch 29 | Train Loss: 0.02643223 | Train Accuracy: 53.500000 | Test Loss: 0.03903731 | Test Accuracy: 38.750000
Epoch 30 | Train Loss: 0.02483855 | Train Accuracy: 55.590000 | Test Loss: 0.03874150 | Test Accuracy: 39.840000
Epoch 31 | Train Loss: 0.02335315 | Train Accuracy: 57.810000 | Test Loss: 0.03915131 | Test Accuracy: 39.370000
Epoch 32 | Train Loss: 0.02160749 | Train Accuracy: 60.720000 | Test Loss: 0.03915202 | Test Accuracy: 39.870000
Epoch 33 | Train Loss: 0.02002089 | Train Accuracy: 63.200000 | Test Loss: 0.03972127 | Test Accuracy: 40.370000
Epoch 34 | Train Loss: 0.01839946 | Train Accuracy: 65.380000 | Test Loss: 0.03995905 | Test Accuracy: 40.540000
Epoch 35 | Train Loss: 0.01696570 | Train Accuracy: 67.870000 | Test Loss: 0.04116128 | Test Accuracy: 39.350000
Epoch 36 | Train Loss: 0.01555809 | Train Accuracy: 70.210000 | Test Loss: 0.04077113 | Test Accuracy: 40.120000
Epoch 37 | Train Loss: 0.01425797 | Train Accuracy: 72.400000 | Test Loss: 0.04136132 | Test Accuracy: 40.270000
Epoch 38 | Train Loss: 0.01297995 | Train Accuracy: 74.760000 | Test Loss: 0.04120970 | Test Accuracy: 40.470000
Epoch 39 | Train Loss: 0.01184230 | Train Accuracy: 76.760000 | Test Loss: 0.04158513 | Test Accuracy: 40.680000
Epoch 40 | Train Loss: 0.01080150 | Train Accuracy: 78.610000 | Test Loss: 0.04240415 | Test Accuracy: 40.950000
Epoch 41 | Train Loss: 0.00989870 | Train Accuracy: 80.290000 | Test Loss: 0.04362801 | Test Accuracy: 41.240000
Epoch 42 | Train Loss: 0.00890176 | Train Accuracy: 82.200000 | Test Loss: 0.04373226 | Test Accuracy: 41.620000
Epoch 43 | Train Loss: 0.00830578 | Train Accuracy: 83.470000 | Test Loss: 0.04449783 | Test Accuracy: 40.840000
Epoch 44 | Train Loss: 0.00780288 | Train Accuracy: 84.050000 | Test Loss: 0.04574601 | Test Accuracy: 40.850000
Epoch 45 | Train Loss: 0.00711574 | Train Accuracy: 85.620000 | Test Loss: 0.04639953 | Test Accuracy: 41.450000
Epoch 46 | Train Loss: 0.00657363 | Train Accuracy: 86.720000 | Test Loss: 0.04784984 | Test Accuracy: 40.740000
Epoch 47 | Train Loss: 0.00614892 | Train Accuracy: 87.520000 | Test Loss: 0.04627338 | Test Accuracy: 41.300000
Epoch 48 | Train Loss: 0.00566287 | Train Accuracy: 88.520000 | Test Loss: 0.04685744 | Test Accuracy: 40.910000
Epoch 49 | Train Loss: 0.00524325 | Train Accuracy: 89.450000 | Test Loss: 0.04733410 | Test Accuracy: 41.330000
Epoch 50 | Train Loss: 0.00494471 | Train Accuracy: 89.780000 | Test Loss: 0.04710002 | Test Accuracy: 41.160000
Epoch 51 | Train Loss: 0.00461663 | Train Accuracy: 90.690000 | Test Loss: 0.04747348 | Test Accuracy: 41.260000
