Epoch  1 | Train Loss: 0.07201344 | Train Accuracy: 1.210000 | Test Loss: 0.07226612 | Test Accuracy: 1.730000
Epoch  2 | Train Loss: 0.07182583 | Train Accuracy: 1.910000 | Test Loss: 0.07145284 | Test Accuracy: 1.160000
Epoch  3 | Train Loss: 0.06801215 | Train Accuracy: 4.790000 | Test Loss: 0.06629808 | Test Accuracy: 6.530000
Epoch  4 | Train Loss: 0.06163889 | Train Accuracy: 10.470000 | Test Loss: 0.06015439 | Test Accuracy: 11.140000
Epoch  5 | Train Loss: 0.05754315 | Train Accuracy: 14.130000 | Test Loss: 0.05800986 | Test Accuracy: 13.640000
Epoch  6 | Train Loss: 0.05502767 | Train Accuracy: 16.740000 | Test Loss: 0.05634902 | Test Accuracy: 16.070000
Epoch  7 | Train Loss: 0.05281096 | Train Accuracy: 19.390000 | Test Loss: 0.05498105 | Test Accuracy: 18.110000
Epoch  8 | Train Loss: 0.05068599 | Train Accuracy: 21.830000 | Test Loss: 0.05423532 | Test Accuracy: 18.880000
Epoch  9 | Train Loss: 0.04854001 | Train Accuracy: 24.350000 | Test Loss: 0.05363517 | Test Accuracy: 19.780000
Epoch 10 | Train Loss: 0.04620626 | Train Accuracy: 27.040000 | Test Loss: 0.05372105 | Test Accuracy: 20.480000
Epoch 11 | Train Loss: 0.04357244 | Train Accuracy: 30.340000 | Test Loss: 0.05426933 | Test Accuracy: 21.020000
Epoch 12 | Train Loss: 0.04039512 | Train Accuracy: 34.360000 | Test Loss: 0.05564316 | Test Accuracy: 21.420000
Epoch 13 | Train Loss: 0.03648916 | Train Accuracy: 39.480000 | Test Loss: 0.05750084 | Test Accuracy: 21.790000
Epoch 14 | Train Loss: 0.03152664 | Train Accuracy: 46.480000 | Test Loss: 0.06158342 | Test Accuracy: 21.600000
Epoch 15 | Train Loss: 0.02549623 | Train Accuracy: 55.720000 | Test Loss: 0.07042278 | Test Accuracy: 21.050000
Epoch 16 | Train Loss: 0.01961272 | Train Accuracy: 64.810000 | Test Loss: 0.07584594 | Test Accuracy: 21.180000
Epoch 17 | Train Loss: 0.01525746 | Train Accuracy: 71.770000 | Test Loss: 0.08490618 | Test Accuracy: 20.770000
Epoch 18 | Train Loss: 0.01179512 | Train Accuracy: 77.780000 | Test Loss: 0.09826681 | Test Accuracy: 19.550000
Epoch 19 | Train Loss: 0.00896362 | Train Accuracy: 83.160000 | Test Loss: 0.09872755 | Test Accuracy: 21.010000
Epoch 20 | Train Loss: 0.00700146 | Train Accuracy: 86.900000 | Test Loss: 0.09664200 | Test Accuracy: 21.750000
Epoch 21 | Train Loss: 0.00573194 | Train Accuracy: 89.150000 | Test Loss: 0.10109173 | Test Accuracy: 23.550000
Epoch 22 | Train Loss: 0.00436950 | Train Accuracy: 91.910000 | Test Loss: 0.10246538 | Test Accuracy: 23.480000
Epoch 23 | Train Loss: 0.00342686 | Train Accuracy: 93.630000 | Test Loss: 0.10706083 | Test Accuracy: 24.110000
Epoch 24 | Train Loss: 0.00296896 | Train Accuracy: 94.520000 | Test Loss: 0.10889266 | Test Accuracy: 24.400000
Epoch 25 | Train Loss: 0.00247867 | Train Accuracy: 95.450000 | Test Loss: 0.10987918 | Test Accuracy: 24.460000
Epoch 26 | Train Loss: 0.00207272 | Train Accuracy: 96.250000 | Test Loss: 0.11188185 | Test Accuracy: 24.720000
Epoch 27 | Train Loss: 0.00187402 | Train Accuracy: 96.630000 | Test Loss: 0.11037115 | Test Accuracy: 24.990000
Epoch 28 | Train Loss: 0.00167336 | Train Accuracy: 96.930000 | Test Loss: 0.11739494 | Test Accuracy: 24.790000
Epoch 29 | Train Loss: 0.00151265 | Train Accuracy: 97.270000 | Test Loss: 0.11982254 | Test Accuracy: 24.730000
Epoch 30 | Train Loss: 0.00138142 | Train Accuracy: 97.590000 | Test Loss: 0.11766548 | Test Accuracy: 24.690000
Epoch 31 | Train Loss: 0.00108705 | Train Accuracy: 98.090000 | Test Loss: 0.12137448 | Test Accuracy: 24.750000
Epoch 32 | Train Loss: 0.00096289 | Train Accuracy: 98.290000 | Test Loss: 0.12394494 | Test Accuracy: 25.870000
Epoch 33 | Train Loss: 0.00091912 | Train Accuracy: 98.380000 | Test Loss: 0.12464413 | Test Accuracy: 25.040000
Epoch 34 | Train Loss: 0.00109308 | Train Accuracy: 98.150000 | Test Loss: 0.12303642 | Test Accuracy: 25.610000
Epoch 35 | Train Loss: 0.00082500 | Train Accuracy: 98.620000 | Test Loss: 0.12394681 | Test Accuracy: 26.130000
Epoch 36 | Train Loss: 0.00080912 | Train Accuracy: 98.620000 | Test Loss: 0.12482717 | Test Accuracy: 26.070000
Epoch 37 | Train Loss: 0.00069767 | Train Accuracy: 98.840000 | Test Loss: 0.12668355 | Test Accuracy: 25.880000
Epoch 38 | Train Loss: 0.00063613 | Train Accuracy: 98.950000 | Test Loss: 0.12930336 | Test Accuracy: 25.890000
Epoch 39 | Train Loss: 0.00063279 | Train Accuracy: 98.980000 | Test Loss: 0.12909506 | Test Accuracy: 25.360000
Epoch 40 | Train Loss: 0.00059951 | Train Accuracy: 99.020000 | Test Loss: 0.13172339 | Test Accuracy: 25.450000
Epoch 41 | Train Loss: 0.00057018 | Train Accuracy: 99.050000 | Test Loss: 0.13141951 | Test Accuracy: 25.910000
Epoch 42 | Train Loss: 0.00062249 | Train Accuracy: 98.950000 | Test Loss: 0.13542782 | Test Accuracy: 25.490000
Epoch 43 | Train Loss: 0.00057956 | Train Accuracy: 98.980000 | Test Loss: 0.13472645 | Test Accuracy: 25.420000
Epoch 44 | Train Loss: 0.00052426 | Train Accuracy: 99.050000 | Test Loss: 0.14352090 | Test Accuracy: 24.700000
Epoch 45 | Train Loss: 0.00059883 | Train Accuracy: 99.030000 | Test Loss: 0.13396406 | Test Accuracy: 25.880000
Epoch 46 | Train Loss: 0.00060812 | Train Accuracy: 98.970000 | Test Loss: 0.13257053 | Test Accuracy: 25.560000
Epoch 47 | Train Loss: 0.00051489 | Train Accuracy: 99.160000 | Test Loss: 0.13442439 | Test Accuracy: 25.730000
Epoch 48 | Train Loss: 0.00046309 | Train Accuracy: 99.250000 | Test Loss: 0.13601992 | Test Accuracy: 25.660000
Epoch 49 | Train Loss: 0.00045111 | Train Accuracy: 99.290000 | Test Loss: 0.13689234 | Test Accuracy: 25.890000
Epoch 50 | Train Loss: 0.00038347 | Train Accuracy: 99.370000 | Test Loss: 0.13714430 | Test Accuracy: 26.530000
Epoch 51 | Train Loss: 0.00049776 | Train Accuracy: 99.210000 | Test Loss: 0.13647005 | Test Accuracy: 25.910000
Epoch 52 | Train Loss: 0.00039731 | Train Accuracy: 99.360000 | Test Loss: 0.14980921 | Test Accuracy: 24.380000
Epoch 53 | Train Loss: 0.00037761 | Train Accuracy: 99.430000 | Test Loss: 0.13520088 | Test Accuracy: 26.790000
Epoch 54 | Train Loss: 0.00027672 | Train Accuracy: 99.590000 | Test Loss: 0.13966244 | Test Accuracy: 26.970000
Epoch 55 | Train Loss: 0.00033692 | Train Accuracy: 99.440000 | Test Loss: 0.13940826 | Test Accuracy: 26.710000
Epoch 56 | Train Loss: 0.00034794 | Train Accuracy: 99.420000 | Test Loss: 0.13934448 | Test Accuracy: 26.490000
Epoch 57 | Train Loss: 0.00029874 | Train Accuracy: 99.540000 | Test Loss: 0.13966918 | Test Accuracy: 26.560000
Epoch 58 | Train Loss: 0.00028046 | Train Accuracy: 99.540000 | Test Loss: 0.14138581 | Test Accuracy: 27.160000
Epoch 59 | Train Loss: 0.00030574 | Train Accuracy: 99.530000 | Test Loss: 0.13916173 | Test Accuracy: 26.610000
Epoch 60 | Train Loss: 0.00027252 | Train Accuracy: 99.520000 | Test Loss: 0.14337323 | Test Accuracy: 26.500000
Epoch 61 | Train Loss: 0.00030379 | Train Accuracy: 99.520000 | Test Loss: 0.14119243 | Test Accuracy: 26.160000
Epoch 62 | Train Loss: 0.00021181 | Train Accuracy: 99.690000 | Test Loss: 0.14039481 | Test Accuracy: 26.830000
Epoch 63 | Train Loss: 0.00022485 | Train Accuracy: 99.640000 | Test Loss: 0.14125769 | Test Accuracy: 26.550000
Epoch 64 | Train Loss: 0.00019026 | Train Accuracy: 99.710000 | Test Loss: 0.14307272 | Test Accuracy: 26.930000
Epoch 65 | Train Loss: 0.00017081 | Train Accuracy: 99.770000 | Test Loss: 0.16522217 | Test Accuracy: 25.030000
Epoch 66 | Train Loss: 0.00026930 | Train Accuracy: 99.630000 | Test Loss: 0.14281561 | Test Accuracy: 26.740000
Epoch 67 | Train Loss: 0.00030077 | Train Accuracy: 99.600000 | Test Loss: 0.14139911 | Test Accuracy: 26.520000
Epoch 68 | Train Loss: 0.00024495 | Train Accuracy: 99.640000 | Test Loss: 0.14201089 | Test Accuracy: 26.570000
Epoch 69 | Train Loss: 0.00018601 | Train Accuracy: 99.690000 | Test Loss: 0.14441429 | Test Accuracy: 26.700000
Epoch 70 | Train Loss: 0.00020360 | Train Accuracy: 99.740000 | Test Loss: 0.14436740 | Test Accuracy: 27.200000
Epoch 71 | Train Loss: 0.00022094 | Train Accuracy: 99.730000 | Test Loss: 0.14399453 | Test Accuracy: 27.510000
Epoch 72 | Train Loss: 0.00017692 | Train Accuracy: 99.770000 | Test Loss: 0.14556667 | Test Accuracy: 27.310000
Epoch 73 | Train Loss: 0.00019040 | Train Accuracy: 99.720000 | Test Loss: 0.14884348 | Test Accuracy: 26.990000
Epoch 74 | Train Loss: 0.00020469 | Train Accuracy: 99.720000 | Test Loss: 0.14566403 | Test Accuracy: 27.170000
Epoch 75 | Train Loss: 0.00021851 | Train Accuracy: 99.700000 | Test Loss: 0.14513210 | Test Accuracy: 27.500000
Epoch 76 | Train Loss: 0.00017335 | Train Accuracy: 99.740000 | Test Loss: 0.14542549 | Test Accuracy: 27.260000
Epoch 77 | Train Loss: 0.00022512 | Train Accuracy: 99.680000 | Test Loss: 0.14411090 | Test Accuracy: 26.960000
Epoch 78 | Train Loss: 0.00022819 | Train Accuracy: 99.680000 | Test Loss: 0.14302298 | Test Accuracy: 27.070000
Epoch 79 | Train Loss: 0.00031423 | Train Accuracy: 99.630000 | Test Loss: 0.14231382 | Test Accuracy: 26.710000
Epoch 80 | Train Loss: 0.00025287 | Train Accuracy: 99.630000 | Test Loss: 0.14207045 | Test Accuracy: 27.300000
Epoch 81 | Train Loss: 0.00019209 | Train Accuracy: 99.750000 | Test Loss: 0.14411083 | Test Accuracy: 27.470000
Epoch 82 | Train Loss: 0.00014095 | Train Accuracy: 99.810000 | Test Loss: 0.14366330 | Test Accuracy: 27.420000
Epoch 83 | Train Loss: 0.00015547 | Train Accuracy: 99.800000 | Test Loss: 0.14199242 | Test Accuracy: 27.820000
Epoch 84 | Train Loss: 0.00013075 | Train Accuracy: 99.830000 | Test Loss: 0.14496534 | Test Accuracy: 27.740000
Epoch 85 | Train Loss: 0.00013898 | Train Accuracy: 99.820000 | Test Loss: 0.14769948 | Test Accuracy: 27.350000
Epoch 86 | Train Loss: 0.00016522 | Train Accuracy: 99.830000 | Test Loss: 0.14666569 | Test Accuracy: 26.860000
Epoch 87 | Train Loss: 0.00014283 | Train Accuracy: 99.830000 | Test Loss: 0.14580137 | Test Accuracy: 26.800000
Epoch 88 | Train Loss: 0.00018332 | Train Accuracy: 99.770000 | Test Loss: 0.14503671 | Test Accuracy: 27.500000
