Epoch  1 | Train Loss: 0.07202573 | Train Accuracy: 0.880000 | Test Loss: 0.07229764 | Test Accuracy: 0.920000
Epoch  2 | Train Loss: 0.07201921 | Train Accuracy: 1.030000 | Test Loss: 0.07229108 | Test Accuracy: 1.060000
Epoch  3 | Train Loss: 0.07200788 | Train Accuracy: 1.070000 | Test Loss: 0.07227500 | Test Accuracy: 1.070000
Epoch  4 | Train Loss: 0.07196125 | Train Accuracy: 1.150000 | Test Loss: 0.07216449 | Test Accuracy: 0.930000
Epoch  5 | Train Loss: 0.07171323 | Train Accuracy: 1.100000 | Test Loss: 0.07184414 | Test Accuracy: 1.280000
Epoch  6 | Train Loss: 0.07123738 | Train Accuracy: 1.410000 | Test Loss: 0.07102715 | Test Accuracy: 1.220000
Epoch  7 | Train Loss: 0.07012482 | Train Accuracy: 1.870000 | Test Loss: 0.07029654 | Test Accuracy: 1.980000
Epoch  8 | Train Loss: 0.06967309 | Train Accuracy: 2.820000 | Test Loss: 0.07053264 | Test Accuracy: 2.780000
Epoch  9 | Train Loss: 0.06928033 | Train Accuracy: 3.730000 | Test Loss: 0.07035960 | Test Accuracy: 3.430000
Epoch 10 | Train Loss: 0.06849131 | Train Accuracy: 4.810000 | Test Loss: 0.07159803 | Test Accuracy: 3.690000
Epoch 11 | Train Loss: 0.06686245 | Train Accuracy: 5.940000 | Test Loss: 0.07000645 | Test Accuracy: 4.690000
Epoch 12 | Train Loss: 0.06507170 | Train Accuracy: 6.770000 | Test Loss: 0.06628937 | Test Accuracy: 6.020000
Epoch 13 | Train Loss: 0.06346176 | Train Accuracy: 7.950000 | Test Loss: 0.06512928 | Test Accuracy: 6.730000
Epoch 14 | Train Loss: 0.06234285 | Train Accuracy: 9.000000 | Test Loss: 0.06384414 | Test Accuracy: 7.480000
Epoch 15 | Train Loss: 0.06131453 | Train Accuracy: 10.050000 | Test Loss: 0.06271078 | Test Accuracy: 8.700000
Epoch 16 | Train Loss: 0.06032781 | Train Accuracy: 11.110000 | Test Loss: 0.06157941 | Test Accuracy: 9.920000
Epoch 17 | Train Loss: 0.05944560 | Train Accuracy: 12.020000 | Test Loss: 0.06044248 | Test Accuracy: 11.420000
Epoch 18 | Train Loss: 0.05844873 | Train Accuracy: 13.370000 | Test Loss: 0.05996586 | Test Accuracy: 11.660000
Epoch 19 | Train Loss: 0.05773980 | Train Accuracy: 14.090000 | Test Loss: 0.05985111 | Test Accuracy: 11.940000
Epoch 20 | Train Loss: 0.05705133 | Train Accuracy: 14.890000 | Test Loss: 0.05853928 | Test Accuracy: 13.420000
Epoch 21 | Train Loss: 0.05634652 | Train Accuracy: 15.690000 | Test Loss: 0.05839739 | Test Accuracy: 14.010000
Epoch 22 | Train Loss: 0.05567758 | Train Accuracy: 16.540000 | Test Loss: 0.05774329 | Test Accuracy: 14.040000
Epoch 23 | Train Loss: 0.05510406 | Train Accuracy: 17.030000 | Test Loss: 0.05712038 | Test Accuracy: 15.020000
Epoch 24 | Train Loss: 0.05438850 | Train Accuracy: 17.930000 | Test Loss: 0.05721725 | Test Accuracy: 15.590000
Epoch 25 | Train Loss: 0.05392518 | Train Accuracy: 18.520000 | Test Loss: 0.05575613 | Test Accuracy: 17.310000
Epoch 26 | Train Loss: 0.05330663 | Train Accuracy: 19.360000 | Test Loss: 0.05626385 | Test Accuracy: 15.920000
Epoch 27 | Train Loss: 0.05289642 | Train Accuracy: 19.490000 | Test Loss: 0.05519939 | Test Accuracy: 17.760000
Epoch 28 | Train Loss: 0.05226335 | Train Accuracy: 20.370000 | Test Loss: 0.05491574 | Test Accuracy: 17.670000
Epoch 29 | Train Loss: 0.05180324 | Train Accuracy: 20.950000 | Test Loss: 0.05595532 | Test Accuracy: 16.880000
Epoch 30 | Train Loss: 0.05134146 | Train Accuracy: 21.710000 | Test Loss: 0.05359572 | Test Accuracy: 19.420000
Epoch 31 | Train Loss: 0.05098340 | Train Accuracy: 21.850000 | Test Loss: 0.05364860 | Test Accuracy: 19.210000
Epoch 32 | Train Loss: 0.05044669 | Train Accuracy: 22.740000 | Test Loss: 0.05374354 | Test Accuracy: 19.470000
Epoch 33 | Train Loss: 0.05003032 | Train Accuracy: 22.770000 | Test Loss: 0.05326279 | Test Accuracy: 20.060000
Epoch 34 | Train Loss: 0.04963419 | Train Accuracy: 23.410000 | Test Loss: 0.05195656 | Test Accuracy: 21.220000
Epoch 35 | Train Loss: 0.04921172 | Train Accuracy: 24.240000 | Test Loss: 0.05339985 | Test Accuracy: 19.610000
Epoch 36 | Train Loss: 0.04885754 | Train Accuracy: 24.640000 | Test Loss: 0.05245040 | Test Accuracy: 20.970000
Epoch 37 | Train Loss: 0.04857204 | Train Accuracy: 25.040000 | Test Loss: 0.05162238 | Test Accuracy: 22.560000
Epoch 38 | Train Loss: 0.04820976 | Train Accuracy: 25.160000 | Test Loss: 0.05075766 | Test Accuracy: 23.900000
Epoch 39 | Train Loss: 0.04777794 | Train Accuracy: 25.950000 | Test Loss: 0.05089079 | Test Accuracy: 23.330000
Epoch 40 | Train Loss: 0.04751224 | Train Accuracy: 26.270000 | Test Loss: 0.05061461 | Test Accuracy: 22.920000
Epoch 41 | Train Loss: 0.04717660 | Train Accuracy: 26.810000 | Test Loss: 0.05075274 | Test Accuracy: 23.630000
Epoch 42 | Train Loss: 0.04682398 | Train Accuracy: 27.010000 | Test Loss: 0.05082863 | Test Accuracy: 23.390000
Epoch 43 | Train Loss: 0.04636659 | Train Accuracy: 27.630000 | Test Loss: 0.05092558 | Test Accuracy: 23.130000
Epoch 44 | Train Loss: 0.04614668 | Train Accuracy: 27.920000 | Test Loss: 0.04990612 | Test Accuracy: 24.670000
Epoch 45 | Train Loss: 0.04581211 | Train Accuracy: 28.400000 | Test Loss: 0.04974634 | Test Accuracy: 24.350000
Epoch 46 | Train Loss: 0.04561674 | Train Accuracy: 28.550000 | Test Loss: 0.04892194 | Test Accuracy: 25.150000
