Epoch  1 | Train Loss: 0.02096358 | Train Accuracy: 57.570000 | Test Loss: 0.01256685 | Test Accuracy: 69.420000
Epoch  2 | Train Loss: 0.01049627 | Train Accuracy: 74.240000 | Test Loss: 0.00964749 | Test Accuracy: 76.640000
Epoch  3 | Train Loss: 0.00869941 | Train Accuracy: 78.640000 | Test Loss: 0.00825339 | Test Accuracy: 80.170000
Epoch  4 | Train Loss: 0.00753537 | Train Accuracy: 81.840000 | Test Loss: 0.00747771 | Test Accuracy: 81.690000
Epoch  5 | Train Loss: 0.00671650 | Train Accuracy: 83.980000 | Test Loss: 0.00690682 | Test Accuracy: 83.510000
Epoch  6 | Train Loss: 0.00611033 | Train Accuracy: 85.500000 | Test Loss: 0.00640532 | Test Accuracy: 84.910000
Epoch  7 | Train Loss: 0.00566207 | Train Accuracy: 86.530000 | Test Loss: 0.00602758 | Test Accuracy: 85.730000
Epoch  8 | Train Loss: 0.00531531 | Train Accuracy: 87.310000 | Test Loss: 0.00574716 | Test Accuracy: 86.390000
Epoch  9 | Train Loss: 0.00503092 | Train Accuracy: 88.080000 | Test Loss: 0.00553142 | Test Accuracy: 87.190000
Epoch 10 | Train Loss: 0.00479035 | Train Accuracy: 88.570000 | Test Loss: 0.00534750 | Test Accuracy: 87.550000
Epoch 11 | Train Loss: 0.00457706 | Train Accuracy: 89.110000 | Test Loss: 0.00521480 | Test Accuracy: 87.780000
Epoch 12 | Train Loss: 0.00438196 | Train Accuracy: 89.500000 | Test Loss: 0.00509945 | Test Accuracy: 88.020000
Epoch 13 | Train Loss: 0.00420175 | Train Accuracy: 89.980000 | Test Loss: 0.00501076 | Test Accuracy: 88.270000
Epoch 14 | Train Loss: 0.00403257 | Train Accuracy: 90.400000 | Test Loss: 0.00493143 | Test Accuracy: 88.450000
Epoch 15 | Train Loss: 0.00387134 | Train Accuracy: 90.760000 | Test Loss: 0.00487263 | Test Accuracy: 88.640000
Epoch 16 | Train Loss: 0.00371453 | Train Accuracy: 91.100000 | Test Loss: 0.00483688 | Test Accuracy: 88.670000
Epoch 17 | Train Loss: 0.00356232 | Train Accuracy: 91.500000 | Test Loss: 0.00481126 | Test Accuracy: 88.770000
Epoch 18 | Train Loss: 0.00341067 | Train Accuracy: 91.910000 | Test Loss: 0.00479749 | Test Accuracy: 88.940000
Epoch 19 | Train Loss: 0.00326005 | Train Accuracy: 92.300000 | Test Loss: 0.00480908 | Test Accuracy: 88.970000
Epoch 20 | Train Loss: 0.00310725 | Train Accuracy: 92.650000 | Test Loss: 0.00482494 | Test Accuracy: 89.080000
Epoch 21 | Train Loss: 0.00295563 | Train Accuracy: 93.040000 | Test Loss: 0.00488439 | Test Accuracy: 89.130000
Epoch 22 | Train Loss: 0.00279946 | Train Accuracy: 93.410000 | Test Loss: 0.00493116 | Test Accuracy: 89.220000
Epoch 23 | Train Loss: 0.00264121 | Train Accuracy: 93.800000 | Test Loss: 0.00500769 | Test Accuracy: 89.160000
Epoch 24 | Train Loss: 0.00248050 | Train Accuracy: 94.210000 | Test Loss: 0.00512398 | Test Accuracy: 89.250000
Epoch 25 | Train Loss: 0.00231877 | Train Accuracy: 94.640000 | Test Loss: 0.00523830 | Test Accuracy: 89.340000
Epoch 26 | Train Loss: 0.00215551 | Train Accuracy: 95.000000 | Test Loss: 0.00535823 | Test Accuracy: 89.360000
Epoch 27 | Train Loss: 0.00198773 | Train Accuracy: 95.490000 | Test Loss: 0.00550509 | Test Accuracy: 89.300000
Epoch 28 | Train Loss: 0.00182117 | Train Accuracy: 95.890000 | Test Loss: 0.00570772 | Test Accuracy: 89.250000
Epoch 29 | Train Loss: 0.00165977 | Train Accuracy: 96.370000 | Test Loss: 0.00593072 | Test Accuracy: 89.480000
Epoch 30 | Train Loss: 0.00149741 | Train Accuracy: 96.770000 | Test Loss: 0.00619958 | Test Accuracy: 89.340000
