Epoch  1 | Train Loss: 0.02177710 | Train Accuracy: 56.280000 | Test Loss: 0.01205066 | Test Accuracy: 70.070000
Epoch  2 | Train Loss: 0.01023269 | Train Accuracy: 74.890000 | Test Loss: 0.00932086 | Test Accuracy: 77.790000
Epoch  3 | Train Loss: 0.00837811 | Train Accuracy: 79.630000 | Test Loss: 0.00803823 | Test Accuracy: 80.670000
Epoch  4 | Train Loss: 0.00730224 | Train Accuracy: 82.460000 | Test Loss: 0.00739681 | Test Accuracy: 82.370000
Epoch  5 | Train Loss: 0.00658663 | Train Accuracy: 84.320000 | Test Loss: 0.00698809 | Test Accuracy: 83.320000
Epoch  6 | Train Loss: 0.00605691 | Train Accuracy: 85.550000 | Test Loss: 0.00659671 | Test Accuracy: 84.200000
Epoch  7 | Train Loss: 0.00564214 | Train Accuracy: 86.540000 | Test Loss: 0.00624716 | Test Accuracy: 85.190000
Epoch  8 | Train Loss: 0.00530400 | Train Accuracy: 87.300000 | Test Loss: 0.00587546 | Test Accuracy: 86.120000
Epoch  9 | Train Loss: 0.00501659 | Train Accuracy: 88.050000 | Test Loss: 0.00564716 | Test Accuracy: 86.820000
Epoch 10 | Train Loss: 0.00476943 | Train Accuracy: 88.580000 | Test Loss: 0.00543197 | Test Accuracy: 87.330000
Epoch 11 | Train Loss: 0.00454891 | Train Accuracy: 89.080000 | Test Loss: 0.00525941 | Test Accuracy: 87.620000
Epoch 12 | Train Loss: 0.00434961 | Train Accuracy: 89.590000 | Test Loss: 0.00510980 | Test Accuracy: 88.060000
Epoch 13 | Train Loss: 0.00416633 | Train Accuracy: 90.000000 | Test Loss: 0.00498828 | Test Accuracy: 88.300000
Epoch 14 | Train Loss: 0.00399371 | Train Accuracy: 90.420000 | Test Loss: 0.00489370 | Test Accuracy: 88.380000
Epoch 15 | Train Loss: 0.00382827 | Train Accuracy: 90.820000 | Test Loss: 0.00481357 | Test Accuracy: 88.700000
Epoch 16 | Train Loss: 0.00366647 | Train Accuracy: 91.240000 | Test Loss: 0.00476251 | Test Accuracy: 88.610000
Epoch 17 | Train Loss: 0.00350879 | Train Accuracy: 91.640000 | Test Loss: 0.00472909 | Test Accuracy: 88.700000
Epoch 18 | Train Loss: 0.00335164 | Train Accuracy: 92.020000 | Test Loss: 0.00471047 | Test Accuracy: 88.880000
Epoch 19 | Train Loss: 0.00319545 | Train Accuracy: 92.420000 | Test Loss: 0.00470694 | Test Accuracy: 88.980000
Epoch 20 | Train Loss: 0.00303753 | Train Accuracy: 92.820000 | Test Loss: 0.00471690 | Test Accuracy: 89.090000
Epoch 21 | Train Loss: 0.00287942 | Train Accuracy: 93.220000 | Test Loss: 0.00474999 | Test Accuracy: 89.320000
Epoch 22 | Train Loss: 0.00271656 | Train Accuracy: 93.620000 | Test Loss: 0.00481261 | Test Accuracy: 89.300000
Epoch 23 | Train Loss: 0.00255012 | Train Accuracy: 94.080000 | Test Loss: 0.00487861 | Test Accuracy: 89.290000
Epoch 24 | Train Loss: 0.00238407 | Train Accuracy: 94.490000 | Test Loss: 0.00500817 | Test Accuracy: 89.350000
Epoch 25 | Train Loss: 0.00221807 | Train Accuracy: 94.880000 | Test Loss: 0.00513334 | Test Accuracy: 89.270000
Epoch 26 | Train Loss: 0.00204105 | Train Accuracy: 95.320000 | Test Loss: 0.00531403 | Test Accuracy: 89.460000
Epoch 27 | Train Loss: 0.00186903 | Train Accuracy: 95.780000 | Test Loss: 0.00548197 | Test Accuracy: 89.330000
Epoch 28 | Train Loss: 0.00170022 | Train Accuracy: 96.190000 | Test Loss: 0.00560373 | Test Accuracy: 89.360000
Epoch 29 | Train Loss: 0.00152533 | Train Accuracy: 96.670000 | Test Loss: 0.00584254 | Test Accuracy: 89.530000
