Epoch  1 | Train Loss: 0.02068699 | Train Accuracy: 57.820000 | Test Loss: 0.01344762 | Test Accuracy: 66.740000
Epoch  2 | Train Loss: 0.01031226 | Train Accuracy: 74.830000 | Test Loss: 0.00951895 | Test Accuracy: 76.590000
Epoch  3 | Train Loss: 0.00848742 | Train Accuracy: 79.270000 | Test Loss: 0.00838489 | Test Accuracy: 78.930000
Epoch  4 | Train Loss: 0.00746394 | Train Accuracy: 82.050000 | Test Loss: 0.00799090 | Test Accuracy: 79.380000
Epoch  5 | Train Loss: 0.00673528 | Train Accuracy: 83.950000 | Test Loss: 0.00760938 | Test Accuracy: 80.750000
Epoch  6 | Train Loss: 0.00617634 | Train Accuracy: 85.280000 | Test Loss: 0.00715318 | Test Accuracy: 82.380000
Epoch  7 | Train Loss: 0.00573368 | Train Accuracy: 86.320000 | Test Loss: 0.00670783 | Test Accuracy: 84.030000
Epoch  8 | Train Loss: 0.00537361 | Train Accuracy: 87.210000 | Test Loss: 0.00637233 | Test Accuracy: 84.840000
Epoch  9 | Train Loss: 0.00507215 | Train Accuracy: 87.940000 | Test Loss: 0.00603649 | Test Accuracy: 85.850000
Epoch 10 | Train Loss: 0.00481630 | Train Accuracy: 88.630000 | Test Loss: 0.00571398 | Test Accuracy: 86.680000
Epoch 11 | Train Loss: 0.00458961 | Train Accuracy: 89.140000 | Test Loss: 0.00547875 | Test Accuracy: 87.120000
Epoch 12 | Train Loss: 0.00438718 | Train Accuracy: 89.590000 | Test Loss: 0.00526437 | Test Accuracy: 87.690000
Epoch 13 | Train Loss: 0.00419986 | Train Accuracy: 90.010000 | Test Loss: 0.00510008 | Test Accuracy: 88.070000
Epoch 14 | Train Loss: 0.00402373 | Train Accuracy: 90.420000 | Test Loss: 0.00492769 | Test Accuracy: 88.550000
Epoch 15 | Train Loss: 0.00385570 | Train Accuracy: 90.850000 | Test Loss: 0.00482252 | Test Accuracy: 88.920000
Epoch 16 | Train Loss: 0.00369403 | Train Accuracy: 91.250000 | Test Loss: 0.00473535 | Test Accuracy: 89.190000
Epoch 17 | Train Loss: 0.00353611 | Train Accuracy: 91.680000 | Test Loss: 0.00468091 | Test Accuracy: 89.350000
Epoch 18 | Train Loss: 0.00337992 | Train Accuracy: 92.080000 | Test Loss: 0.00466271 | Test Accuracy: 89.440000
Epoch 19 | Train Loss: 0.00322597 | Train Accuracy: 92.450000 | Test Loss: 0.00464414 | Test Accuracy: 89.520000
Epoch 20 | Train Loss: 0.00306993 | Train Accuracy: 92.790000 | Test Loss: 0.00465571 | Test Accuracy: 89.470000
Epoch 21 | Train Loss: 0.00291508 | Train Accuracy: 93.160000 | Test Loss: 0.00471199 | Test Accuracy: 89.450000
Epoch 22 | Train Loss: 0.00276080 | Train Accuracy: 93.510000 | Test Loss: 0.00473291 | Test Accuracy: 89.540000
Epoch 23 | Train Loss: 0.00260176 | Train Accuracy: 93.880000 | Test Loss: 0.00478506 | Test Accuracy: 89.530000
Epoch 24 | Train Loss: 0.00243814 | Train Accuracy: 94.310000 | Test Loss: 0.00482697 | Test Accuracy: 89.550000
Epoch 25 | Train Loss: 0.00227439 | Train Accuracy: 94.760000 | Test Loss: 0.00495454 | Test Accuracy: 89.520000
Epoch 26 | Train Loss: 0.00209989 | Train Accuracy: 95.200000 | Test Loss: 0.00505174 | Test Accuracy: 89.600000
