Epoch  1 | Train Loss: 0.01387115 | Train Accuracy: 70.960000 | Test Loss: 0.00265117 | Test Accuracy: 94.390000
Epoch  2 | Train Loss: 0.00234161 | Train Accuracy: 95.390000 | Test Loss: 0.00137490 | Test Accuracy: 97.180000
Epoch  3 | Train Loss: 0.00153126 | Train Accuracy: 96.970000 | Test Loss: 0.00104125 | Test Accuracy: 97.750000
Epoch  4 | Train Loss: 0.00121039 | Train Accuracy: 97.660000 | Test Loss: 0.00083697 | Test Accuracy: 98.220000
Epoch  5 | Train Loss: 0.00099455 | Train Accuracy: 97.990000 | Test Loss: 0.00081915 | Test Accuracy: 98.200000
Epoch  6 | Train Loss: 0.00087172 | Train Accuracy: 98.230000 | Test Loss: 0.00068678 | Test Accuracy: 98.500000
Epoch  7 | Train Loss: 0.00073182 | Train Accuracy: 98.550000 | Test Loss: 0.00063456 | Test Accuracy: 98.560000
Epoch  8 | Train Loss: 0.00068862 | Train Accuracy: 98.590000 | Test Loss: 0.00062064 | Test Accuracy: 98.580000
Epoch  9 | Train Loss: 0.00061751 | Train Accuracy: 98.720000 | Test Loss: 0.00061507 | Test Accuracy: 98.720000
Epoch 10 | Train Loss: 0.00055884 | Train Accuracy: 98.870000 | Test Loss: 0.00052383 | Test Accuracy: 98.810000
Epoch 11 | Train Loss: 0.00050929 | Train Accuracy: 98.920000 | Test Loss: 0.00051063 | Test Accuracy: 98.930000
Epoch 12 | Train Loss: 0.00047853 | Train Accuracy: 99.020000 | Test Loss: 0.00048896 | Test Accuracy: 98.920000
Epoch 13 | Train Loss: 0.00043235 | Train Accuracy: 99.130000 | Test Loss: 0.00047399 | Test Accuracy: 98.980000
Epoch 14 | Train Loss: 0.00039646 | Train Accuracy: 99.220000 | Test Loss: 0.00045862 | Test Accuracy: 98.990000
Epoch 15 | Train Loss: 0.00036754 | Train Accuracy: 99.230000 | Test Loss: 0.00046557 | Test Accuracy: 99.010000
Epoch 16 | Train Loss: 0.00034268 | Train Accuracy: 99.290000 | Test Loss: 0.00043294 | Test Accuracy: 99.020000
Epoch 17 | Train Loss: 0.00030608 | Train Accuracy: 99.370000 | Test Loss: 0.00044404 | Test Accuracy: 99.110000
Epoch 18 | Train Loss: 0.00030740 | Train Accuracy: 99.340000 | Test Loss: 0.00044538 | Test Accuracy: 99.130000
Epoch 19 | Train Loss: 0.00027067 | Train Accuracy: 99.450000 | Test Loss: 0.00044702 | Test Accuracy: 99.090000
Epoch 20 | Train Loss: 0.00024371 | Train Accuracy: 99.500000 | Test Loss: 0.00042447 | Test Accuracy: 99.110000
Epoch 21 | Train Loss: 0.00025043 | Train Accuracy: 99.470000 | Test Loss: 0.00043025 | Test Accuracy: 99.180000
Epoch 22 | Train Loss: 0.00022828 | Train Accuracy: 99.520000 | Test Loss: 0.00048852 | Test Accuracy: 99.080000
Epoch 23 | Train Loss: 0.00020052 | Train Accuracy: 99.580000 | Test Loss: 0.00046237 | Test Accuracy: 99.110000
Epoch 24 | Train Loss: 0.00019603 | Train Accuracy: 99.590000 | Test Loss: 0.00045381 | Test Accuracy: 99.110000
Epoch 25 | Train Loss: 0.00018545 | Train Accuracy: 99.620000 | Test Loss: 0.00042645 | Test Accuracy: 99.150000
Epoch 26 | Train Loss: 0.00016815 | Train Accuracy: 99.640000 | Test Loss: 0.00045969 | Test Accuracy: 99.230000
Epoch 27 | Train Loss: 0.00017225 | Train Accuracy: 99.650000 | Test Loss: 0.00046970 | Test Accuracy: 99.130000
Epoch 28 | Train Loss: 0.00015857 | Train Accuracy: 99.650000 | Test Loss: 0.00044847 | Test Accuracy: 99.160000
Epoch 29 | Train Loss: 0.00014528 | Train Accuracy: 99.700000 | Test Loss: 0.00047392 | Test Accuracy: 99.210000
Epoch 30 | Train Loss: 0.00015132 | Train Accuracy: 99.670000 | Test Loss: 0.00047305 | Test Accuracy: 99.120000
Epoch 31 | Train Loss: 0.00014079 | Train Accuracy: 99.700000 | Test Loss: 0.00049281 | Test Accuracy: 99.100000
Epoch 32 | Train Loss: 0.00012753 | Train Accuracy: 99.720000 | Test Loss: 0.00048246 | Test Accuracy: 99.180000
Epoch 33 | Train Loss: 0.00013345 | Train Accuracy: 99.730000 | Test Loss: 0.00046561 | Test Accuracy: 99.200000
Epoch 34 | Train Loss: 0.00010561 | Train Accuracy: 99.770000 | Test Loss: 0.00053318 | Test Accuracy: 99.100000
Epoch 35 | Train Loss: 0.00010307 | Train Accuracy: 99.790000 | Test Loss: 0.00048924 | Test Accuracy: 99.160000
Epoch 36 | Train Loss: 0.00009406 | Train Accuracy: 99.800000 | Test Loss: 0.00053551 | Test Accuracy: 99.150000
Epoch 37 | Train Loss: 0.00009649 | Train Accuracy: 99.780000 | Test Loss: 0.00049036 | Test Accuracy: 99.190000
Epoch 38 | Train Loss: 0.00009143 | Train Accuracy: 99.780000 | Test Loss: 0.00054795 | Test Accuracy: 99.080000
Epoch 39 | Train Loss: 0.00009512 | Train Accuracy: 99.800000 | Test Loss: 0.00048190 | Test Accuracy: 99.150000
Epoch 40 | Train Loss: 0.00008169 | Train Accuracy: 99.820000 | Test Loss: 0.00049050 | Test Accuracy: 99.180000
