Epoch  1 | Train Loss: 0.01645492 | Train Accuracy: 70.430000 | Test Loss: 0.00320148 | Test Accuracy: 93.480000
Epoch  2 | Train Loss: 0.00198437 | Train Accuracy: 96.150000 | Test Loss: 0.00151832 | Test Accuracy: 96.920000
Epoch  3 | Train Loss: 0.00120878 | Train Accuracy: 97.620000 | Test Loss: 0.00128784 | Test Accuracy: 97.220000
Epoch  4 | Train Loss: 0.00089584 | Train Accuracy: 98.210000 | Test Loss: 0.00104938 | Test Accuracy: 97.790000
Epoch  5 | Train Loss: 0.00070215 | Train Accuracy: 98.610000 | Test Loss: 0.00093974 | Test Accuracy: 97.970000
Epoch  6 | Train Loss: 0.00056190 | Train Accuracy: 98.890000 | Test Loss: 0.00087048 | Test Accuracy: 98.170000
Epoch  7 | Train Loss: 0.00044880 | Train Accuracy: 99.150000 | Test Loss: 0.00083828 | Test Accuracy: 98.280000
Epoch  8 | Train Loss: 0.00035863 | Train Accuracy: 99.360000 | Test Loss: 0.00082533 | Test Accuracy: 98.330000
Epoch  9 | Train Loss: 0.00028586 | Train Accuracy: 99.500000 | Test Loss: 0.00081599 | Test Accuracy: 98.350000
Epoch 10 | Train Loss: 0.00022865 | Train Accuracy: 99.640000 | Test Loss: 0.00082411 | Test Accuracy: 98.360000
Epoch 11 | Train Loss: 0.00017686 | Train Accuracy: 99.720000 | Test Loss: 0.00089725 | Test Accuracy: 98.240000
Epoch 12 | Train Loss: 0.00013384 | Train Accuracy: 99.830000 | Test Loss: 0.00094547 | Test Accuracy: 98.260000
Epoch 13 | Train Loss: 0.00011571 | Train Accuracy: 99.840000 | Test Loss: 0.00095274 | Test Accuracy: 98.230000
Epoch 14 | Train Loss: 0.00009778 | Train Accuracy: 99.850000 | Test Loss: 0.00103299 | Test Accuracy: 98.170000
Epoch 15 | Train Loss: 0.00007458 | Train Accuracy: 99.900000 | Test Loss: 0.00101101 | Test Accuracy: 98.270000
Epoch 16 | Train Loss: 0.00009494 | Train Accuracy: 99.830000 | Test Loss: 0.00100434 | Test Accuracy: 98.320000
Epoch 17 | Train Loss: 0.00012702 | Train Accuracy: 99.730000 | Test Loss: 0.00095453 | Test Accuracy: 98.380000
Epoch 18 | Train Loss: 0.00007510 | Train Accuracy: 99.870000 | Test Loss: 0.00089039 | Test Accuracy: 98.520000
Epoch 19 | Train Loss: 0.00004392 | Train Accuracy: 99.920000 | Test Loss: 0.00079754 | Test Accuracy: 98.760000
Epoch 20 | Train Loss: 0.00003501 | Train Accuracy: 99.950000 | Test Loss: 0.00077248 | Test Accuracy: 98.820000
Epoch 21 | Train Loss: 0.00005377 | Train Accuracy: 99.930000 | Test Loss: 0.00069752 | Test Accuracy: 98.920000
Epoch 22 | Train Loss: 0.00007382 | Train Accuracy: 99.880000 | Test Loss: 0.00071695 | Test Accuracy: 98.940000
Epoch 23 | Train Loss: 0.00002966 | Train Accuracy: 99.960000 | Test Loss: 0.00073195 | Test Accuracy: 98.830000
Epoch 24 | Train Loss: 0.00002414 | Train Accuracy: 99.960000 | Test Loss: 0.00071702 | Test Accuracy: 98.900000
Epoch 25 | Train Loss: 0.00001328 | Train Accuracy: 99.990000 | Test Loss: 0.00070335 | Test Accuracy: 98.950000
Epoch 26 | Train Loss: 0.00000758 | Train Accuracy: 100.000000 | Test Loss: 0.00069633 | Test Accuracy: 98.970000
Epoch 27 | Train Loss: 0.00000586 | Train Accuracy: 100.000000 | Test Loss: 0.00070674 | Test Accuracy: 98.980000
Epoch 28 | Train Loss: 0.00000449 | Train Accuracy: 100.000000 | Test Loss: 0.00072095 | Test Accuracy: 98.990000
Epoch 29 | Train Loss: 0.00000366 | Train Accuracy: 100.000000 | Test Loss: 0.00073089 | Test Accuracy: 98.970000
Epoch 30 | Train Loss: 0.00000307 | Train Accuracy: 100.000000 | Test Loss: 0.00074217 | Test Accuracy: 98.980000
Epoch 31 | Train Loss: 0.00000266 | Train Accuracy: 100.000000 | Test Loss: 0.00075139 | Test Accuracy: 98.980000
Epoch 32 | Train Loss: 0.00000237 | Train Accuracy: 100.000000 | Test Loss: 0.00075934 | Test Accuracy: 98.970000
Epoch 33 | Train Loss: 0.00000214 | Train Accuracy: 100.000000 | Test Loss: 0.00076625 | Test Accuracy: 98.960000
Epoch 34 | Train Loss: 0.00000195 | Train Accuracy: 100.000000 | Test Loss: 0.00077260 | Test Accuracy: 98.970000
Epoch 35 | Train Loss: 0.00000180 | Train Accuracy: 100.000000 | Test Loss: 0.00077832 | Test Accuracy: 98.970000
Epoch 36 | Train Loss: 0.00000167 | Train Accuracy: 100.000000 | Test Loss: 0.00078393 | Test Accuracy: 98.970000
Epoch 37 | Train Loss: 0.00000155 | Train Accuracy: 100.000000 | Test Loss: 0.00078887 | Test Accuracy: 98.970000
