Epoch  1 | Train Loss: 0.02776249 | Train Accuracy: 38.460000 | Test Loss: 0.00912211 | Test Accuracy: 80.810000
Epoch  2 | Train Loss: 0.00622236 | Train Accuracy: 87.460000 | Test Loss: 0.00446964 | Test Accuracy: 91.160000
Epoch  3 | Train Loss: 0.00388241 | Train Accuracy: 92.270000 | Test Loss: 0.00359826 | Test Accuracy: 92.850000
Epoch  4 | Train Loss: 0.00305583 | Train Accuracy: 93.930000 | Test Loss: 0.00288636 | Test Accuracy: 94.000000
Epoch  5 | Train Loss: 0.00265037 | Train Accuracy: 94.700000 | Test Loss: 0.00266491 | Test Accuracy: 94.470000
Epoch  6 | Train Loss: 0.00233193 | Train Accuracy: 95.340000 | Test Loss: 0.00229898 | Test Accuracy: 94.980000
Epoch  7 | Train Loss: 0.00208281 | Train Accuracy: 95.860000 | Test Loss: 0.00194135 | Test Accuracy: 95.910000
Epoch  8 | Train Loss: 0.00193402 | Train Accuracy: 96.270000 | Test Loss: 0.00179798 | Test Accuracy: 96.360000
Epoch  9 | Train Loss: 0.00180165 | Train Accuracy: 96.490000 | Test Loss: 0.00133041 | Test Accuracy: 97.290000
Epoch 10 | Train Loss: 0.00170039 | Train Accuracy: 96.670000 | Test Loss: 0.00141068 | Test Accuracy: 97.200000
Epoch 11 | Train Loss: 0.00160296 | Train Accuracy: 96.800000 | Test Loss: 0.00133697 | Test Accuracy: 97.300000
Epoch 12 | Train Loss: 0.00154719 | Train Accuracy: 96.950000 | Test Loss: 0.00115365 | Test Accuracy: 97.680000
Epoch 13 | Train Loss: 0.00145724 | Train Accuracy: 97.040000 | Test Loss: 0.00133754 | Test Accuracy: 97.250000
Epoch 14 | Train Loss: 0.00140370 | Train Accuracy: 97.200000 | Test Loss: 0.00115265 | Test Accuracy: 97.780000
Epoch 15 | Train Loss: 0.00132408 | Train Accuracy: 97.330000 | Test Loss: 0.00105532 | Test Accuracy: 97.980000
