Epoch  1 | Train Loss: 0.0719 | Train Accuracy: 1.0 | Test Loss: 0.0718 | Test Accuracy: 0.87
Epoch  2 | Train Loss: 0.0719 | Train Accuracy: 1.09 | Test Loss: 0.0718 | Test Accuracy: 0.96
Epoch  3 | Train Loss: 0.0719 | Train Accuracy: 1.1 | Test Loss: 0.0718 | Test Accuracy: 1.07
Epoch  4 | Train Loss: 0.0719 | Train Accuracy: 1.08 | Test Loss: 0.0718 | Test Accuracy: 1.08
Epoch  5 | Train Loss: 0.0719 | Train Accuracy: 1.15 | Test Loss: 0.0718 | Test Accuracy: 1.16
Epoch  6 | Train Loss: 0.0719 | Train Accuracy: 1.08 | Test Loss: 0.0718 | Test Accuracy: 1.25
Epoch  7 | Train Loss: 0.0719 | Train Accuracy: 1.17 | Test Loss: 0.0718 | Test Accuracy: 1.33
Epoch  8 | Train Loss: 0.0719 | Train Accuracy: 1.24 | Test Loss: 0.0718 | Test Accuracy: 1.45
Epoch  9 | Train Loss: 0.0719 | Train Accuracy: 1.11 | Test Loss: 0.0718 | Test Accuracy: 1.56
Epoch 10 | Train Loss: 0.0719 | Train Accuracy: 1.23 | Test Loss: 0.0718 | Test Accuracy: 1.87
Epoch 11 | Train Loss: 0.0719 | Train Accuracy: 1.31 | Test Loss: 0.0718 | Test Accuracy: 1.96
Epoch 12 | Train Loss: 0.0719 | Train Accuracy: 1.29 | Test Loss: 0.0718 | Test Accuracy: 2.05
Epoch 13 | Train Loss: 0.0719 | Train Accuracy: 1.35 | Test Loss: 0.0718 | Test Accuracy: 2.03
Epoch 14 | Train Loss: 0.0719 | Train Accuracy: 1.43 | Test Loss: 0.0718 | Test Accuracy: 1.93
Epoch 15 | Train Loss: 0.0719 | Train Accuracy: 1.47 | Test Loss: 0.0718 | Test Accuracy: 1.8
Epoch 16 | Train Loss: 0.0719 | Train Accuracy: 1.54 | Test Loss: 0.0718 | Test Accuracy: 1.66
Epoch 17 | Train Loss: 0.0719 | Train Accuracy: 1.49 | Test Loss: 0.0718 | Test Accuracy: 1.59
Epoch 18 | Train Loss: 0.0719 | Train Accuracy: 1.58 | Test Loss: 0.0718 | Test Accuracy: 1.49
Epoch 19 | Train Loss: 0.0719 | Train Accuracy: 1.53 | Test Loss: 0.0718 | Test Accuracy: 1.44
Epoch 20 | Train Loss: 0.0719 | Train Accuracy: 1.53 | Test Loss: 0.0717 | Test Accuracy: 1.35
Epoch 21 | Train Loss: 0.0718 | Train Accuracy: 1.58 | Test Loss: 0.0717 | Test Accuracy: 1.28
Epoch 22 | Train Loss: 0.0718 | Train Accuracy: 1.53 | Test Loss: 0.0717 | Test Accuracy: 1.21
Epoch 23 | Train Loss: 0.0718 | Train Accuracy: 1.44 | Test Loss: 0.0716 | Test Accuracy: 1.17
Epoch 24 | Train Loss: 0.0717 | Train Accuracy: 1.44 | Test Loss: 0.0715 | Test Accuracy: 1.15
Epoch 25 | Train Loss: 0.0715 | Train Accuracy: 1.45 | Test Loss: 0.0713 | Test Accuracy: 1.27
Epoch 26 | Train Loss: 0.0713 | Train Accuracy: 1.46 | Test Loss: 0.0710 | Test Accuracy: 1.68
Epoch 27 | Train Loss: 0.0709 | Train Accuracy: 1.75 | Test Loss: 0.0705 | Test Accuracy: 2.8
Epoch 28 | Train Loss: 0.0705 | Train Accuracy: 2.6 | Test Loss: 0.0700 | Test Accuracy: 3.89
Epoch 29 | Train Loss: 0.0699 | Train Accuracy: 3.2 | Test Loss: 0.0691 | Test Accuracy: 4.29
Epoch 30 | Train Loss: 0.0690 | Train Accuracy: 3.86 | Test Loss: 0.0680 | Test Accuracy: 4.79
Epoch 31 | Train Loss: 0.0682 | Train Accuracy: 4.5 | Test Loss: 0.0671 | Test Accuracy: 5.23
Epoch 32 | Train Loss: 0.0676 | Train Accuracy: 4.86 | Test Loss: 0.0666 | Test Accuracy: 5.46
Epoch 33 | Train Loss: 0.0671 | Train Accuracy: 5.26 | Test Loss: 0.0660 | Test Accuracy: 6.0
Epoch 34 | Train Loss: 0.0666 | Train Accuracy: 5.7 | Test Loss: 0.0655 | Test Accuracy: 6.69
Epoch 35 | Train Loss: 0.0660 | Train Accuracy: 6.22 | Test Loss: 0.0649 | Test Accuracy: 7.43
Epoch 36 | Train Loss: 0.0654 | Train Accuracy: 6.8 | Test Loss: 0.0641 | Test Accuracy: 7.86
Epoch 37 | Train Loss: 0.0644 | Train Accuracy: 7.81 | Test Loss: 0.0629 | Test Accuracy: 8.99
Epoch 38 | Train Loss: 0.0633 | Train Accuracy: 8.63 | Test Loss: 0.0616 | Test Accuracy: 9.86
Epoch 39 | Train Loss: 0.0623 | Train Accuracy: 9.44 | Test Loss: 0.0610 | Test Accuracy: 10.52
Epoch 40 | Train Loss: 0.0617 | Train Accuracy: 10.0 | Test Loss: 0.0604 | Test Accuracy: 11.17
Epoch 41 | Train Loss: 0.0612 | Train Accuracy: 10.32 | Test Loss: 0.0600 | Test Accuracy: 11.83
Epoch 42 | Train Loss: 0.0607 | Train Accuracy: 10.98 | Test Loss: 0.0596 | Test Accuracy: 12.21
Epoch 43 | Train Loss: 0.0604 | Train Accuracy: 11.21 | Test Loss: 0.0593 | Test Accuracy: 12.36
Epoch 44 | Train Loss: 0.0600 | Train Accuracy: 11.73 | Test Loss: 0.0589 | Test Accuracy: 12.86
Epoch 45 | Train Loss: 0.0596 | Train Accuracy: 11.98 | Test Loss: 0.0586 | Test Accuracy: 13.23
Epoch 46 | Train Loss: 0.0593 | Train Accuracy: 12.57 | Test Loss: 0.0584 | Test Accuracy: 13.57
Epoch 47 | Train Loss: 0.0590 | Train Accuracy: 12.8 | Test Loss: 0.0581 | Test Accuracy: 14.11
Epoch 48 | Train Loss: 0.0587 | Train Accuracy: 13.07 | Test Loss: 0.0578 | Test Accuracy: 14.22
Epoch 49 | Train Loss: 0.0584 | Train Accuracy: 13.26 | Test Loss: 0.0575 | Test Accuracy: 14.5
Epoch 50 | Train Loss: 0.0581 | Train Accuracy: 13.61 | Test Loss: 0.0573 | Test Accuracy: 14.93
Epoch 51 | Train Loss: 0.0579 | Train Accuracy: 14.17 | Test Loss: 0.0570 | Test Accuracy: 14.95
Epoch 52 | Train Loss: 0.0576 | Train Accuracy: 14.18 | Test Loss: 0.0567 | Test Accuracy: 15.45
Epoch 53 | Train Loss: 0.0573 | Train Accuracy: 14.65 | Test Loss: 0.0564 | Test Accuracy: 16.02
Epoch 54 | Train Loss: 0.0570 | Train Accuracy: 14.97 | Test Loss: 0.0562 | Test Accuracy: 16.05
Epoch 55 | Train Loss: 0.0568 | Train Accuracy: 15.13 | Test Loss: 0.0560 | Test Accuracy: 16.4
Epoch 56 | Train Loss: 0.0564 | Train Accuracy: 15.54 | Test Loss: 0.0557 | Test Accuracy: 16.6
Epoch 57 | Train Loss: 0.0562 | Train Accuracy: 15.57 | Test Loss: 0.0555 | Test Accuracy: 16.75
Epoch 58 | Train Loss: 0.0560 | Train Accuracy: 15.88 | Test Loss: 0.0552 | Test Accuracy: 17.28
Epoch 59 | Train Loss: 0.0556 | Train Accuracy: 16.62 | Test Loss: 0.0549 | Test Accuracy: 17.6
Epoch 60 | Train Loss: 0.0554 | Train Accuracy: 16.62 | Test Loss: 0.0547 | Test Accuracy: 17.84
Epoch 61 | Train Loss: 0.0552 | Train Accuracy: 16.91 | Test Loss: 0.0545 | Test Accuracy: 18.06
Epoch 62 | Train Loss: 0.0550 | Train Accuracy: 17.09 | Test Loss: 0.0543 | Test Accuracy: 18.38
Epoch 63 | Train Loss: 0.0547 | Train Accuracy: 17.61 | Test Loss: 0.0540 | Test Accuracy: 18.89
Epoch 64 | Train Loss: 0.0544 | Train Accuracy: 17.82 | Test Loss: 0.0539 | Test Accuracy: 19.09
Epoch 65 | Train Loss: 0.0542 | Train Accuracy: 18.04 | Test Loss: 0.0536 | Test Accuracy: 19.25
Epoch 66 | Train Loss: 0.0540 | Train Accuracy: 18.25 | Test Loss: 0.0535 | Test Accuracy: 19.57
Epoch 67 | Train Loss: 0.0538 | Train Accuracy: 18.44 | Test Loss: 0.0533 | Test Accuracy: 19.78
Epoch 68 | Train Loss: 0.0535 | Train Accuracy: 18.6 | Test Loss: 0.0531 | Test Accuracy: 20.08
Epoch 69 | Train Loss: 0.0534 | Train Accuracy: 18.9 | Test Loss: 0.0530 | Test Accuracy: 20.46
Epoch 70 | Train Loss: 0.0531 | Train Accuracy: 19.15 | Test Loss: 0.0527 | Test Accuracy: 20.32
Epoch 71 | Train Loss: 0.0528 | Train Accuracy: 19.24 | Test Loss: 0.0525 | Test Accuracy: 20.29
Epoch 72 | Train Loss: 0.0527 | Train Accuracy: 19.66 | Test Loss: 0.0524 | Test Accuracy: 20.78
Epoch 73 | Train Loss: 0.0524 | Train Accuracy: 20.0 | Test Loss: 0.0524 | Test Accuracy: 20.71
Epoch 74 | Train Loss: 0.0523 | Train Accuracy: 20.36 | Test Loss: 0.0520 | Test Accuracy: 21.39
Epoch 75 | Train Loss: 0.0521 | Train Accuracy: 20.48 | Test Loss: 0.0518 | Test Accuracy: 21.45
Epoch 76 | Train Loss: 0.0518 | Train Accuracy: 20.72 | Test Loss: 0.0516 | Test Accuracy: 21.71
Epoch 77 | Train Loss: 0.0517 | Train Accuracy: 20.88 | Test Loss: 0.0515 | Test Accuracy: 21.71
Epoch 78 | Train Loss: 0.0515 | Train Accuracy: 21.03 | Test Loss: 0.0515 | Test Accuracy: 22.04
Epoch 79 | Train Loss: 0.0513 | Train Accuracy: 21.15 | Test Loss: 0.0513 | Test Accuracy: 21.95
Epoch 80 | Train Loss: 0.0511 | Train Accuracy: 21.45 | Test Loss: 0.0511 | Test Accuracy: 22.48
Epoch 81 | Train Loss: 0.0509 | Train Accuracy: 21.79 | Test Loss: 0.0509 | Test Accuracy: 22.65
Epoch 82 | Train Loss: 0.0506 | Train Accuracy: 22.16 | Test Loss: 0.0508 | Test Accuracy: 22.73
Epoch 83 | Train Loss: 0.0505 | Train Accuracy: 22.23 | Test Loss: 0.0507 | Test Accuracy: 22.78
Epoch 84 | Train Loss: 0.0503 | Train Accuracy: 22.18 | Test Loss: 0.0506 | Test Accuracy: 22.69
Epoch 85 | Train Loss: 0.0501 | Train Accuracy: 22.55 | Test Loss: 0.0504 | Test Accuracy: 23.06
Epoch 86 | Train Loss: 0.0499 | Train Accuracy: 22.85 | Test Loss: 0.0503 | Test Accuracy: 23.33
Epoch 87 | Train Loss: 0.0498 | Train Accuracy: 23.01 | Test Loss: 0.0501 | Test Accuracy: 23.52
Epoch 88 | Train Loss: 0.0496 | Train Accuracy: 23.56 | Test Loss: 0.0500 | Test Accuracy: 23.97
Epoch 89 | Train Loss: 0.0494 | Train Accuracy: 23.43 | Test Loss: 0.0501 | Test Accuracy: 23.7
Epoch 90 | Train Loss: 0.0493 | Train Accuracy: 23.55 | Test Loss: 0.0498 | Test Accuracy: 23.65
Epoch 91 | Train Loss: 0.0491 | Train Accuracy: 24.04 | Test Loss: 0.0497 | Test Accuracy: 23.86
Epoch 92 | Train Loss: 0.0489 | Train Accuracy: 24.15 | Test Loss: 0.0495 | Test Accuracy: 24.45
Epoch 93 | Train Loss: 0.0487 | Train Accuracy: 24.4 | Test Loss: 0.0494 | Test Accuracy: 24.37
Epoch 94 | Train Loss: 0.0485 | Train Accuracy: 24.45 | Test Loss: 0.0493 | Test Accuracy: 24.45
Epoch 95 | Train Loss: 0.0484 | Train Accuracy: 24.92 | Test Loss: 0.0493 | Test Accuracy: 24.61
Epoch 96 | Train Loss: 0.0482 | Train Accuracy: 25.05 | Test Loss: 0.0492 | Test Accuracy: 24.59
Epoch 97 | Train Loss: 0.0480 | Train Accuracy: 24.96 | Test Loss: 0.0489 | Test Accuracy: 24.76
Epoch 98 | Train Loss: 0.0479 | Train Accuracy: 25.22 | Test Loss: 0.0489 | Test Accuracy: 24.96
Epoch 99 | Train Loss: 0.0476 | Train Accuracy: 25.68 | Test Loss: 0.0487 | Test Accuracy: 25.14
Epoch 100 | Train Loss: 0.0475 | Train Accuracy: 25.83 | Test Loss: 0.0487 | Test Accuracy: 25.28
Epoch 101 | Train Loss: 0.0473 | Train Accuracy: 25.91 | Test Loss: 0.0488 | Test Accuracy: 25.07
Epoch 102 | Train Loss: 0.0471 | Train Accuracy: 26.03 | Test Loss: 0.0484 | Test Accuracy: 25.79
Epoch 103 | Train Loss: 0.0469 | Train Accuracy: 26.35 | Test Loss: 0.0483 | Test Accuracy: 25.42
Epoch 104 | Train Loss: 0.0467 | Train Accuracy: 26.53 | Test Loss: 0.0482 | Test Accuracy: 25.7
Epoch 105 | Train Loss: 0.0465 | Train Accuracy: 27.04 | Test Loss: 0.0481 | Test Accuracy: 26.0
Epoch 106 | Train Loss: 0.0464 | Train Accuracy: 26.79 | Test Loss: 0.0480 | Test Accuracy: 25.9
Epoch 107 | Train Loss: 0.0462 | Train Accuracy: 27.08 | Test Loss: 0.0479 | Test Accuracy: 25.93
Epoch 108 | Train Loss: 0.0460 | Train Accuracy: 27.57 | Test Loss: 0.0477 | Test Accuracy: 26.44
Epoch 109 | Train Loss: 0.0458 | Train Accuracy: 27.69 | Test Loss: 0.0477 | Test Accuracy: 26.41
Epoch 110 | Train Loss: 0.0455 | Train Accuracy: 28.05 | Test Loss: 0.0474 | Test Accuracy: 26.65
Epoch 111 | Train Loss: 0.0455 | Train Accuracy: 28.02 | Test Loss: 0.0473 | Test Accuracy: 26.98
Epoch 112 | Train Loss: 0.0452 | Train Accuracy: 28.57 | Test Loss: 0.0472 | Test Accuracy: 26.98
Epoch 113 | Train Loss: 0.0449 | Train Accuracy: 28.8 | Test Loss: 0.0471 | Test Accuracy: 27.24
Epoch 114 | Train Loss: 0.0448 | Train Accuracy: 29.15 | Test Loss: 0.0470 | Test Accuracy: 27.49
Epoch 115 | Train Loss: 0.0447 | Train Accuracy: 29.23 | Test Loss: 0.0469 | Test Accuracy: 27.19
Epoch 116 | Train Loss: 0.0444 | Train Accuracy: 29.62 | Test Loss: 0.0468 | Test Accuracy: 27.67
Epoch 117 | Train Loss: 0.0443 | Train Accuracy: 29.79 | Test Loss: 0.0467 | Test Accuracy: 28.04
Epoch 118 | Train Loss: 0.0439 | Train Accuracy: 30.19 | Test Loss: 0.0465 | Test Accuracy: 27.94
Epoch 119 | Train Loss: 0.0438 | Train Accuracy: 30.2 | Test Loss: 0.0465 | Test Accuracy: 27.94
Epoch 120 | Train Loss: 0.0436 | Train Accuracy: 30.48 | Test Loss: 0.0463 | Test Accuracy: 28.09
Epoch 121 | Train Loss: 0.0434 | Train Accuracy: 30.69 | Test Loss: 0.0463 | Test Accuracy: 28.13
Epoch 122 | Train Loss: 0.0432 | Train Accuracy: 30.87 | Test Loss: 0.0461 | Test Accuracy: 29.15
Epoch 123 | Train Loss: 0.0429 | Train Accuracy: 31.6 | Test Loss: 0.0459 | Test Accuracy: 28.92
Epoch 124 | Train Loss: 0.0427 | Train Accuracy: 31.57 | Test Loss: 0.0459 | Test Accuracy: 29.25
Epoch 125 | Train Loss: 0.0426 | Train Accuracy: 31.89 | Test Loss: 0.0458 | Test Accuracy: 29.38
Epoch 126 | Train Loss: 0.0423 | Train Accuracy: 32.0 | Test Loss: 0.0456 | Test Accuracy: 29.33
Epoch 127 | Train Loss: 0.0422 | Train Accuracy: 32.37 | Test Loss: 0.0455 | Test Accuracy: 29.31
Epoch 128 | Train Loss: 0.0418 | Train Accuracy: 32.71 | Test Loss: 0.0454 | Test Accuracy: 29.82
Epoch 129 | Train Loss: 0.0417 | Train Accuracy: 33.19 | Test Loss: 0.0454 | Test Accuracy: 29.81
Epoch 130 | Train Loss: 0.0416 | Train Accuracy: 32.8 | Test Loss: 0.0452 | Test Accuracy: 29.7
Epoch 131 | Train Loss: 0.0413 | Train Accuracy: 33.36 | Test Loss: 0.0452 | Test Accuracy: 30.0
Epoch 132 | Train Loss: 0.0411 | Train Accuracy: 33.67 | Test Loss: 0.0452 | Test Accuracy: 29.96
Epoch 133 | Train Loss: 0.0407 | Train Accuracy: 34.08 | Test Loss: 0.0449 | Test Accuracy: 30.47
Epoch 134 | Train Loss: 0.0406 | Train Accuracy: 34.42 | Test Loss: 0.0449 | Test Accuracy: 30.25
Epoch 135 | Train Loss: 0.0404 | Train Accuracy: 34.48 | Test Loss: 0.0448 | Test Accuracy: 30.53
Epoch 136 | Train Loss: 0.0401 | Train Accuracy: 34.69 | Test Loss: 0.0447 | Test Accuracy: 30.46
Epoch 137 | Train Loss: 0.0399 | Train Accuracy: 35.17 | Test Loss: 0.0446 | Test Accuracy: 30.67
Epoch 138 | Train Loss: 0.0396 | Train Accuracy: 35.57 | Test Loss: 0.0445 | Test Accuracy: 31.18
Epoch 139 | Train Loss: 0.0394 | Train Accuracy: 35.76 | Test Loss: 0.0444 | Test Accuracy: 31.15
Epoch 140 | Train Loss: 0.0392 | Train Accuracy: 36.03 | Test Loss: 0.0443 | Test Accuracy: 31.13
Epoch 141 | Train Loss: 0.0390 | Train Accuracy: 36.4 | Test Loss: 0.0442 | Test Accuracy: 31.54
Epoch 142 | Train Loss: 0.0387 | Train Accuracy: 36.56 | Test Loss: 0.0441 | Test Accuracy: 31.35
Epoch 143 | Train Loss: 0.0385 | Train Accuracy: 37.01 | Test Loss: 0.0441 | Test Accuracy: 31.51
Epoch 144 | Train Loss: 0.0382 | Train Accuracy: 37.48 | Test Loss: 0.0440 | Test Accuracy: 31.68
Epoch 145 | Train Loss: 0.0380 | Train Accuracy: 37.74 | Test Loss: 0.0439 | Test Accuracy: 32.16
Epoch 146 | Train Loss: 0.0378 | Train Accuracy: 37.73 | Test Loss: 0.0438 | Test Accuracy: 31.92
Epoch 147 | Train Loss: 0.0375 | Train Accuracy: 38.23 | Test Loss: 0.0438 | Test Accuracy: 31.92
Epoch 148 | Train Loss: 0.0374 | Train Accuracy: 38.32 | Test Loss: 0.0436 | Test Accuracy: 32.01
Epoch 149 | Train Loss: 0.0370 | Train Accuracy: 38.71 | Test Loss: 0.0435 | Test Accuracy: 32.43
Epoch 150 | Train Loss: 0.0369 | Train Accuracy: 39.07 | Test Loss: 0.0435 | Test Accuracy: 32.5
Epoch 151 | Train Loss: 0.0366 | Train Accuracy: 39.2 | Test Loss: 0.0436 | Test Accuracy: 32.24
Epoch 152 | Train Loss: 0.0364 | Train Accuracy: 39.42 | Test Loss: 0.0434 | Test Accuracy: 32.52
Epoch 153 | Train Loss: 0.0361 | Train Accuracy: 40.36 | Test Loss: 0.0433 | Test Accuracy: 32.24
Epoch 154 | Train Loss: 0.0358 | Train Accuracy: 40.49 | Test Loss: 0.0434 | Test Accuracy: 32.46
Epoch 155 | Train Loss: 0.0355 | Train Accuracy: 40.79 | Test Loss: 0.0432 | Test Accuracy: 32.8
Epoch 156 | Train Loss: 0.0353 | Train Accuracy: 41.2 | Test Loss: 0.0433 | Test Accuracy: 33.0
Epoch 157 | Train Loss: 0.0351 | Train Accuracy: 41.32 | Test Loss: 0.0430 | Test Accuracy: 32.92
Epoch 158 | Train Loss: 0.0349 | Train Accuracy: 41.48 | Test Loss: 0.0431 | Test Accuracy: 32.94
Epoch 159 | Train Loss: 0.0345 | Train Accuracy: 42.17 | Test Loss: 0.0431 | Test Accuracy: 33.14
Epoch 160 | Train Loss: 0.0343 | Train Accuracy: 42.38 | Test Loss: 0.0430 | Test Accuracy: 33.04
Epoch 161 | Train Loss: 0.0341 | Train Accuracy: 42.37 | Test Loss: 0.0429 | Test Accuracy: 33.45
