Epoch  1 | Train Loss: 0.0614 | Train Accuracy: 13.63 | Test Loss: 0.0304 | Test Accuracy: 42.07
Epoch  2 | Train Loss: 0.0230 | Train Accuracy: 45.71 | Test Loss: 0.0169 | Test Accuracy: 60.74
Epoch  3 | Train Loss: 0.0172 | Train Accuracy: 59.46 | Test Loss: 0.0153 | Test Accuracy: 64.96
Epoch  4 | Train Loss: 0.0155 | Train Accuracy: 63.56 | Test Loss: 0.0145 | Test Accuracy: 66.78
Epoch  5 | Train Loss: 0.0145 | Train Accuracy: 65.8 | Test Loss: 0.0140 | Test Accuracy: 67.49
Epoch  6 | Train Loss: 0.0138 | Train Accuracy: 67.52 | Test Loss: 0.0140 | Test Accuracy: 67.44
Epoch  7 | Train Loss: 0.0133 | Train Accuracy: 68.65 | Test Loss: 0.0129 | Test Accuracy: 69.68
Epoch  8 | Train Loss: 0.0128 | Train Accuracy: 69.68 | Test Loss: 0.0126 | Test Accuracy: 70.58
Epoch  9 | Train Loss: 0.0124 | Train Accuracy: 70.51 | Test Loss: 0.0122 | Test Accuracy: 71.21
Epoch 10 | Train Loss: 0.0120 | Train Accuracy: 71.52 | Test Loss: 0.0118 | Test Accuracy: 72.03
Epoch 11 | Train Loss: 0.0117 | Train Accuracy: 72.28 | Test Loss: 0.0115 | Test Accuracy: 72.78
Epoch 12 | Train Loss: 0.0114 | Train Accuracy: 72.95 | Test Loss: 0.0114 | Test Accuracy: 73.15
Epoch 13 | Train Loss: 0.0111 | Train Accuracy: 73.78 | Test Loss: 0.0112 | Test Accuracy: 73.48
Epoch 14 | Train Loss: 0.0109 | Train Accuracy: 74.03 | Test Loss: 0.0107 | Test Accuracy: 74.4
Epoch 15 | Train Loss: 0.0106 | Train Accuracy: 74.68 | Test Loss: 0.0105 | Test Accuracy: 75.28
Epoch 16 | Train Loss: 0.0104 | Train Accuracy: 75.16 | Test Loss: 0.0104 | Test Accuracy: 75.57
Epoch 17 | Train Loss: 0.0102 | Train Accuracy: 75.75 | Test Loss: 0.0099 | Test Accuracy: 76.56
Epoch 18 | Train Loss: 0.0100 | Train Accuracy: 76.24 | Test Loss: 0.0099 | Test Accuracy: 76.75
Epoch 19 | Train Loss: 0.0098 | Train Accuracy: 76.73 | Test Loss: 0.0096 | Test Accuracy: 77.08
Epoch 20 | Train Loss: 0.0096 | Train Accuracy: 76.97 | Test Loss: 0.0095 | Test Accuracy: 77.61
Epoch 21 | Train Loss: 0.0094 | Train Accuracy: 77.45 | Test Loss: 0.0092 | Test Accuracy: 78.22
Epoch 22 | Train Loss: 0.0092 | Train Accuracy: 77.98 | Test Loss: 0.0093 | Test Accuracy: 77.81
Epoch 23 | Train Loss: 0.0091 | Train Accuracy: 78.17 | Test Loss: 0.0091 | Test Accuracy: 77.97
Epoch 24 | Train Loss: 0.0089 | Train Accuracy: 78.69 | Test Loss: 0.0090 | Test Accuracy: 79.08
Epoch 25 | Train Loss: 0.0088 | Train Accuracy: 78.85 | Test Loss: 0.0088 | Test Accuracy: 79.18
Epoch 26 | Train Loss: 0.0087 | Train Accuracy: 79.13 | Test Loss: 0.0086 | Test Accuracy: 78.96
Epoch 27 | Train Loss: 0.0085 | Train Accuracy: 79.43 | Test Loss: 0.0084 | Test Accuracy: 79.8
Epoch 28 | Train Loss: 0.0084 | Train Accuracy: 79.88 | Test Loss: 0.0084 | Test Accuracy: 80.51
Epoch 29 | Train Loss: 0.0083 | Train Accuracy: 80.17 | Test Loss: 0.0083 | Test Accuracy: 80.2
Epoch 30 | Train Loss: 0.0082 | Train Accuracy: 80.48 | Test Loss: 0.0082 | Test Accuracy: 79.99
Epoch 31 | Train Loss: 0.0081 | Train Accuracy: 80.67 | Test Loss: 0.0081 | Test Accuracy: 81.25
Epoch 32 | Train Loss: 0.0079 | Train Accuracy: 81.01 | Test Loss: 0.0079 | Test Accuracy: 80.97
Epoch 33 | Train Loss: 0.0079 | Train Accuracy: 81.13 | Test Loss: 0.0080 | Test Accuracy: 81.07
Epoch 34 | Train Loss: 0.0077 | Train Accuracy: 81.47 | Test Loss: 0.0077 | Test Accuracy: 81.98
Epoch 35 | Train Loss: 0.0077 | Train Accuracy: 81.8 | Test Loss: 0.0078 | Test Accuracy: 81.5
Epoch 36 | Train Loss: 0.0076 | Train Accuracy: 81.9 | Test Loss: 0.0076 | Test Accuracy: 82.09
Epoch 37 | Train Loss: 0.0075 | Train Accuracy: 82.12 | Test Loss: 0.0076 | Test Accuracy: 82.23
Epoch 38 | Train Loss: 0.0074 | Train Accuracy: 82.23 | Test Loss: 0.0074 | Test Accuracy: 82.75
Epoch 39 | Train Loss: 0.0073 | Train Accuracy: 82.66 | Test Loss: 0.0074 | Test Accuracy: 82.7
Epoch 40 | Train Loss: 0.0073 | Train Accuracy: 82.79 | Test Loss: 0.0073 | Test Accuracy: 82.84
Epoch 41 | Train Loss: 0.0072 | Train Accuracy: 83.0 | Test Loss: 0.0073 | Test Accuracy: 83.01
Epoch 42 | Train Loss: 0.0071 | Train Accuracy: 83.18 | Test Loss: 0.0072 | Test Accuracy: 83.29
Epoch 43 | Train Loss: 0.0071 | Train Accuracy: 83.31 | Test Loss: 0.0072 | Test Accuracy: 83.29
Epoch 44 | Train Loss: 0.0070 | Train Accuracy: 83.31 | Test Loss: 0.0074 | Test Accuracy: 82.41
Epoch 45 | Train Loss: 0.0069 | Train Accuracy: 83.52 | Test Loss: 0.0070 | Test Accuracy: 83.7
Epoch 46 | Train Loss: 0.0069 | Train Accuracy: 83.66 | Test Loss: 0.0069 | Test Accuracy: 83.99
Epoch 47 | Train Loss: 0.0068 | Train Accuracy: 83.91 | Test Loss: 0.0069 | Test Accuracy: 83.66
Epoch 48 | Train Loss: 0.0068 | Train Accuracy: 84.02 | Test Loss: 0.0068 | Test Accuracy: 84.01
Epoch 49 | Train Loss: 0.0067 | Train Accuracy: 84.23 | Test Loss: 0.0068 | Test Accuracy: 84.33
Epoch 50 | Train Loss: 0.0066 | Train Accuracy: 84.35 | Test Loss: 0.0067 | Test Accuracy: 84.27
Epoch 51 | Train Loss: 0.0066 | Train Accuracy: 84.54 | Test Loss: 0.0066 | Test Accuracy: 84.49
Epoch 52 | Train Loss: 0.0065 | Train Accuracy: 84.65 | Test Loss: 0.0066 | Test Accuracy: 84.6
Epoch 53 | Train Loss: 0.0065 | Train Accuracy: 84.7 | Test Loss: 0.0066 | Test Accuracy: 84.53
Epoch 54 | Train Loss: 0.0064 | Train Accuracy: 84.95 | Test Loss: 0.0065 | Test Accuracy: 84.7
Epoch 55 | Train Loss: 0.0064 | Train Accuracy: 84.99 | Test Loss: 0.0064 | Test Accuracy: 84.99
Epoch 56 | Train Loss: 0.0063 | Train Accuracy: 84.93 | Test Loss: 0.0065 | Test Accuracy: 84.83
Epoch 57 | Train Loss: 0.0063 | Train Accuracy: 85.05 | Test Loss: 0.0064 | Test Accuracy: 84.81
Epoch 58 | Train Loss: 0.0062 | Train Accuracy: 85.38 | Test Loss: 0.0064 | Test Accuracy: 85.25
Epoch 59 | Train Loss: 0.0062 | Train Accuracy: 85.41 | Test Loss: 0.0063 | Test Accuracy: 85.34
Epoch 60 | Train Loss: 0.0062 | Train Accuracy: 85.42 | Test Loss: 0.0063 | Test Accuracy: 85.26
Epoch 61 | Train Loss: 0.0061 | Train Accuracy: 85.55 | Test Loss: 0.0063 | Test Accuracy: 85.32
Epoch 62 | Train Loss: 0.0061 | Train Accuracy: 85.54 | Test Loss: 0.0062 | Test Accuracy: 85.37
Epoch 63 | Train Loss: 0.0060 | Train Accuracy: 85.77 | Test Loss: 0.0063 | Test Accuracy: 85.02
Epoch 64 | Train Loss: 0.0060 | Train Accuracy: 85.97 | Test Loss: 0.0061 | Test Accuracy: 85.87
Epoch 65 | Train Loss: 0.0060 | Train Accuracy: 85.98 | Test Loss: 0.0061 | Test Accuracy: 85.66
Epoch 66 | Train Loss: 0.0059 | Train Accuracy: 86.14 | Test Loss: 0.0060 | Test Accuracy: 86.07
Epoch 67 | Train Loss: 0.0059 | Train Accuracy: 86.15 | Test Loss: 0.0061 | Test Accuracy: 85.8
Epoch 68 | Train Loss: 0.0059 | Train Accuracy: 86.22 | Test Loss: 0.0060 | Test Accuracy: 85.96
