Epoch  1 | Train Loss: 0.0359 | Train Accuracy: 14.41 | Test Loss: 0.0358 | Test Accuracy: 29.05
Epoch  2 | Train Loss: 0.0358 | Train Accuracy: 26.46 | Test Loss: 0.0355 | Test Accuracy: 51.53
Epoch  3 | Train Loss: 0.0352 | Train Accuracy: 35.78 | Test Loss: 0.0338 | Test Accuracy: 63.61
Epoch  4 | Train Loss: 0.0234 | Train Accuracy: 60.96 | Test Loss: 0.0091 | Test Accuracy: 82.7
Epoch  5 | Train Loss: 0.0090 | Train Accuracy: 81.85 | Test Loss: 0.0060 | Test Accuracy: 88.16
Epoch  6 | Train Loss: 0.0065 | Train Accuracy: 87.22 | Test Loss: 0.0046 | Test Accuracy: 90.88
Epoch  7 | Train Loss: 0.0053 | Train Accuracy: 89.64 | Test Loss: 0.0039 | Test Accuracy: 91.94
Epoch  8 | Train Loss: 0.0044 | Train Accuracy: 91.27 | Test Loss: 0.0032 | Test Accuracy: 93.35
Epoch  9 | Train Loss: 0.0038 | Train Accuracy: 92.51 | Test Loss: 0.0027 | Test Accuracy: 94.48
Epoch 10 | Train Loss: 0.0034 | Train Accuracy: 93.36 | Test Loss: 0.0024 | Test Accuracy: 95.26
Epoch 11 | Train Loss: 0.0031 | Train Accuracy: 93.88 | Test Loss: 0.0021 | Test Accuracy: 95.76
Epoch 12 | Train Loss: 0.0027 | Train Accuracy: 94.6 | Test Loss: 0.0019 | Test Accuracy: 95.9
Epoch 13 | Train Loss: 0.0025 | Train Accuracy: 95.03 | Test Loss: 0.0017 | Test Accuracy: 96.5
Epoch 14 | Train Loss: 0.0023 | Train Accuracy: 95.38 | Test Loss: 0.0016 | Test Accuracy: 96.75
Epoch 15 | Train Loss: 0.0022 | Train Accuracy: 95.74 | Test Loss: 0.0015 | Test Accuracy: 96.79
Epoch 16 | Train Loss: 0.0020 | Train Accuracy: 95.95 | Test Loss: 0.0014 | Test Accuracy: 97.07
Epoch 17 | Train Loss: 0.0019 | Train Accuracy: 96.09 | Test Loss: 0.0013 | Test Accuracy: 97.3
Epoch 18 | Train Loss: 0.0018 | Train Accuracy: 96.32 | Test Loss: 0.0012 | Test Accuracy: 97.35
Epoch 19 | Train Loss: 0.0017 | Train Accuracy: 96.47 | Test Loss: 0.0012 | Test Accuracy: 97.5
Epoch 20 | Train Loss: 0.0016 | Train Accuracy: 96.68 | Test Loss: 0.0011 | Test Accuracy: 97.6
Epoch 21 | Train Loss: 0.0016 | Train Accuracy: 96.75 | Test Loss: 0.0011 | Test Accuracy: 97.53
Epoch 22 | Train Loss: 0.0015 | Train Accuracy: 96.96 | Test Loss: 0.0011 | Test Accuracy: 97.73
Epoch 23 | Train Loss: 0.0015 | Train Accuracy: 97.05 | Test Loss: 0.0010 | Test Accuracy: 97.85
Epoch 24 | Train Loss: 0.0014 | Train Accuracy: 97.16 | Test Loss: 0.0010 | Test Accuracy: 97.88
Epoch 25 | Train Loss: 0.0013 | Train Accuracy: 97.33 | Test Loss: 0.0009 | Test Accuracy: 97.89
